SLNO,Problem,Difficulty
748,748. Shortest Completing Word,Easy
749,749. Contain Virus,Hard
750,750. Number Of Corner Rectangles,Med.
751,751. IP to CIDR,Med.
752,752. Open the Lock,Med.
753,753. Cracking the Safe,Hard
754,754. Reach a Number,Med.
755,755. Pour Water,Med.
756,756. Pyramid Transition Matrix,Med.
757,757. Set Intersection Size At Least Two,Hard
758,758. Bold Words in String,Med.
759,759. Employee Free Time,Hard
760,760. Find Anagram Mappings,Easy
761,761. Special Binary String,Hard
762,762. Prime Number of Set Bits in Binary Representation,Easy
763,763. Partition Labels,Med.
764,764. Largest Plus Sign,Med.
765,765. Couples Holding Hands,Hard
766,766. Toeplitz Matrix,Easy
767,767. Reorganize String,Med.
768,768. Max Chunks To Make Sorted II,Hard
769,769. Max Chunks To Make Sorted,Med.
770,770. Basic Calculator IV,Hard
771,771. Jewels and Stones,Easy
772,772. Basic Calculator III,Hard
773,773. Sliding Puzzle,Hard
774,774. Minimize Max Distance to Gas Station,Hard
775,775. Global and Local Inversions,Med.
776,776. Split BST,Med.
777,777. Swap Adjacent in LR String,Med.
778,778. Swim in Rising Water,Hard
779,779. K-th Symbol in Grammar,Med.
780,780. Reaching Points,Hard
781,781. Rabbits in Forest,Med.
782,782. Transform to Chessboard,Hard
783,783. Minimum Distance Between BST Nodes,Easy
784,784. Letter Case Permutation,Med.
785,785. Is Graph Bipartite?,Med.
786,786. K-th Smallest Prime Fraction,Med.
787,787. Cheapest Flights Within K Stops,Med.
788,788. Rotated Digits,Med.
789,789. Escape The Ghosts,Med.
790,790. Domino and Tromino Tiling,Med.
791,791. Custom Sort String,Med.
792,792. Number of Matching Subsequences,Med.
793,793. Preimage Size of Factorial Zeroes Function,Hard
794,794. Valid Tic-Tac-Toe State,Med.
795,795. Number of Subarrays with Bounded Maximum,Med.
796,796. Rotate String,Easy
797,797. All Paths From Source to Target,Med.
798,798. Smallest Rotation with Highest Score,Hard
799,799. Champagne Tower,Med.
800,800. Similar RGB Color,Easy
801,801. Minimum Swaps To Make Sequences Increasing,Hard
802,802. Find Eventual Safe States,Med.
803,803. Bricks Falling When Hit,Hard
804,804. Unique Morse Code Words,Easy
805,805. Split Array With Same Average,Hard
806,806. Number of Lines To Write String,Easy
807,807. Max Increase to Keep City Skyline,Med.
808,808. Soup Servings,Med.
809,809. Expressive Words,Med.
810,810. Chalkboard XOR Game,Hard
811,811. Subdomain Visit Count,Med.
812,812. Largest Triangle Area,Easy
813,813. Largest Sum of Averages,Med.
814,814. Binary Tree Pruning,Med.
815,815. Bus Routes,Hard
816,816. Ambiguous Coordinates,Med.
817,817. Linked List Components,Med.
818,818. Race Car,Hard
819,819. Most Common Word,Easy
820,820. Short Encoding of Words,Med.
821,821. Shortest Distance to a Character,Easy
822,822. Card Flipping Game,Med.
823,823. Binary Trees With Factors,Med.
824,824. Goat Latin,Easy
825,825. Friends Of Appropriate Ages,Med.
826,826. Most Profit Assigning Work,Med.
827,827. Making A Large Island,Hard
828,828. Count Unique Characters of All Substrings of a Given String,Hard
829,829. Consecutive Numbers Sum,Hard
830,830. Positions of Large Groups,Easy
831,831. Masking Personal Information,Med.
832,832. Flipping an Image,Easy
833,833. Find And Replace in String,Med.
834,834. Sum of Distances in Tree,Hard
835,835. Image Overlap,Med.
836,836. Rectangle Overlap,Easy
837,837. New 21 Game,Med.
838,838. Push Dominoes,Med.
839,839. Similar String Groups,Hard
840,840. Magic Squares In Grid,Med.
841,841. Keys and Rooms,Med.
842,842. Split Array into Fibonacci Sequence,Med.
843,843. Guess the Word,Hard
844,844. Backspace String Compare,Easy
845,845. Longest Mountain in Array,Med.
846,846. Hand of Straights,Med.
847,847. Shortest Path Visiting All Nodes,Hard
848,848. Shifting Letters,Med.
849,849. Maximize Distance to Closest Person,Med.
850,850. Rectangle Area II,Hard
851,851. Loud and Rich,Med.
852,852. Peak Index in a Mountain Array,Med.
853,853. Car Fleet,Med.
854,854. K-Similar Strings,Hard
855,855. Exam Room,Med.
856,856. Score of Parentheses,Med.
857,857. Minimum Cost to Hire K Workers,Hard
858,858. Mirror Reflection,Med.
859,859. Buddy Strings,Easy
860,860. Lemonade Change,Easy
861,861. Score After Flipping Matrix,Med.
862,862. Shortest Subarray with Sum at Least K,Hard
863,863. All Nodes Distance K in Binary Tree,Med.
864,864. Shortest Path to Get All Keys,Hard
865,865. Smallest Subtree with all the Deepest Nodes,Med.
866,866. Prime Palindrome,Med.
867,867. Transpose Matrix,Easy
868,868. Binary Gap,Easy
869,869. Reordered Power of 2,Med.
870,870. Advantage Shuffle,Med.
871,871. Minimum Number of Refueling Stops,Hard
872,872. Leaf-Similar Trees,Easy
873,873. Length of Longest Fibonacci Subsequence,Med.
874,874. Walking Robot Simulation,Med.
875,875. Koko Eating Bananas,Med.
876,876. Middle of the Linked List,Easy
877,877. Stone Game,Med.
878,878. Nth Magical Number,Hard
879,879. Profitable Schemes,Hard
880,880. Decoded String at Index,Med.
881,881. Boats to Save People,Med.
882,882. Reachable Nodes In Subdivided Graph,Hard
883,883. Projection Area of 3D Shapes,Easy
884,884. Uncommon Words from Two Sentences,Easy
885,885. Spiral Matrix III,Med.
886,886. Possible Bipartition,Med.
887,887. Super Egg Drop,Hard
888,888. Fair Candy Swap,Easy
889,889. Construct Binary Tree from Preorder and Postorder Traversal,Med.
890,890. Find and Replace Pattern,Med.
891,891. Sum of Subsequence Widths,Hard
892,892. Surface Area of 3D Shapes,Easy
893,893. Groups of Special-Equivalent Strings,Med.
894,894. All Possible Full Binary Trees,Med.
895,895. Maximum Frequency Stack,Hard
896,896. Monotonic Array,Easy
897,897. Increasing Order Search Tree,Easy
898,898. Bitwise ORs of Subarrays,Med.
899,899. Orderly Queue,Hard
900,900. RLE Iterator,Med.
901,901. Online Stock Span,Med.
902,902. Numbers At Most N Given Digit Set,Hard
903,903. Valid Permutations for DI Sequence,Hard
904,904. Fruit Into Baskets,Med.
905,905. Sort Array By Parity,Easy
906,906. Super Palindromes,Hard
907,907. Sum of Subarray Minimums,Med.
908,908. Smallest Range I,Easy
909,909. Snakes and Ladders,Med.
910,910. Smallest Range II,Med.
911,911. Online Election,Med.
912,912. Sort an Array,Med.
913,913. Cat and Mouse,Hard
914,914. X of a Kind in a Deck of Cards,Easy
915,915. Partition Array into Disjoint Intervals,Med.
916,916. Word Subsets,Med.
917,917. Reverse Only Letters,Easy
918,918. Maximum Sum Circular Subarray,Med.
919,919. Complete Binary Tree Inserter,Med.
920,920. Number of Music Playlists,Hard
921,921. Minimum Add to Make Parentheses Valid,Med.
922,922. Sort Array By Parity II,Easy
923,923. 3Sum With Multiplicity,Med.
924,924. Minimize Malware Spread,Hard
925,925. Long Pressed Name,Easy
926,926. Flip String to Monotone Increasing,Med.
927,927. Three Equal Parts,Hard
928,928. Minimize Malware Spread II,Hard
929,929. Unique Email Addresses,Easy
930,930. Binary Subarrays With Sum,Med.
931,931. Minimum Falling Path Sum,Med.
932,932. Beautiful Array,Med.
933,933. Number of Recent Calls,Easy
934,934. Shortest Bridge,Med.
935,935. Knight Dialer,Med.
936,936. Stamping The Sequence,Hard
937,937. Reorder Data in Log Files,Med.
938,938. Range Sum of BST,Easy
939,939. Minimum Area Rectangle,Med.
940,940. Distinct Subsequences II,Hard
941,941. Valid Mountain Array,Easy
942,942. DI String Match,Easy
943,943. Find the Shortest Superstring,Hard
944,944. Delete Columns to Make Sorted,Easy
945,945. Minimum Increment to Make Array Unique,Med.
946,946. Validate Stack Sequences,Med.
947,947. Most Stones Removed with Same Row or Column,Med.
948,948. Bag of Tokens,Med.
949,949. Largest Time for Given Digits,Med.
950,950. Reveal Cards In Increasing Order,Med.
951,951. Flip Equivalent Binary Trees,Med.
952,952. Largest Component Size by Common Factor,Hard
953,953. Verifying an Alien Dictionary,Easy
954,954. Array of Doubled Pairs,Med.
955,955. Delete Columns to Make Sorted II,Med.
956,956. Tallest Billboard,Hard
957,957. Prison Cells After N Days,Med.
958,958. Check Completeness of a Binary Tree,Med.
959,959. Regions Cut By Slashes,Med.
960,960. Delete Columns to Make Sorted III,Hard
961,961. N-Repeated Element in Size 2N Array,Easy
962,962. Maximum Width Ramp,Med.
963,963. Minimum Area Rectangle II,Med.
964,964. Least Operators to Express Number,Hard
965,965. Univalued Binary Tree,Easy
966,966. Vowel Spellchecker,Med.
967,967. Numbers With Same Consecutive Differences,Med.
968,968. Binary Tree Cameras,Hard
969,969. Pancake Sorting,Med.
970,970. Powerful Integers,Med.
971,971. Flip Binary Tree To Match Preorder Traversal,Med.
972,972. Equal Rational Numbers,Hard
973,973. K Closest Points to Origin,Med.
974,974. Subarray Sums Divisible by K,Med.
975,975. Odd Even Jump,Hard
976,976. Largest Perimeter Triangle,Easy
977,977. Squares of a Sorted Array,Easy
978,978. Longest Turbulent Subarray,Med.
979,979. Distribute Coins in Binary Tree,Med.
980,980. Unique Paths III,Hard
981,981. Time Based Key-Value Store,Med.
982,982. Triples with Bitwise AND Equal To Zero,Hard
983,983. Minimum Cost For Tickets,Med.
984,984. String Without AAA or BBB,Med.
985,985. Sum of Even Numbers After Queries,Med.
986,986. Interval List Intersections,Med.
987,987. Vertical Order Traversal of a Binary Tree,Hard
988,988. Smallest String Starting From Leaf,Med.
989,989. Add to Array-Form of Integer,Easy
990,990. Satisfiability of Equality Equations,Med.
991,991. Broken Calculator,Med.
992,992. Subarrays with K Different Integers,Hard
993,993. Cousins in Binary Tree,Easy
994,994. Rotting Oranges,Med.
995,995. Minimum Number of K Consecutive Bit Flips,Hard
996,996. Number of Squareful Arrays,Hard
997,997. Find the Town Judge,Easy
998,998. Maximum Binary Tree II,Med.
999,999. Available Captures for Rook,Easy
1000,1000. Minimum Cost to Merge Stones,Hard
1001,1001. Grid Illumination,Hard
1002,1002. Find Common Characters,Easy
1003,1003. Check If Word Is Valid After Substitutions,Med.
1004,1004. Max Consecutive Ones III,Med.
1005,1005. Maximize Sum Of Array After K Negations,Easy
1006,1006. Clumsy Factorial,Med.
1007,1007. Minimum Domino Rotations For Equal Row,Med.
1008,1008. Construct Binary Search Tree from Preorder Traversal,Med.
1009,1009. Complement of Base 10 Integer,Easy
1010,1010. Pairs of Songs With Total Durations Divisible by 60,Med.
1011,1011. Capacity To Ship Packages Within D Days,Med.
1012,1012. Numbers With Repeated Digits,Hard
1013,1013. Partition Array Into Three Parts With Equal Sum,Easy
1014,1014. Best Sightseeing Pair,Med.
1015,1015. Smallest Integer Divisible by K,Med.
1016,1016. Binary String With Substrings Representing 1 To N,Med.
1017,1017. Convert to Base -2,Med.
1018,1018. Binary Prefix Divisible By 5,Easy
1019,1019. Next Greater Node In Linked List,Med.
1020,1020. Number of Enclaves,Med.
1021,1021. Remove Outermost Parentheses,Easy
1022,1022. Sum of Root To Leaf Binary Numbers,Easy
1023,1023. Camelcase Matching,Med.
1024,1024. Video Stitching,Med.
1025,1025. Divisor Game,Easy
1026,1026. Maximum Difference Between Node and Ancestor,Med.
1027,1027. Longest Arithmetic Subsequence,Med.
1028,1028. Recover a Tree From Preorder Traversal,Hard
1029,1029. Two City Scheduling,Med.
1030,1030. Matrix Cells in Distance Order,Easy
1031,1031. Maximum Sum of Two Non-Overlapping Subarrays,Med.
1032,1032. Stream of Characters,Hard
1033,1033. Moving Stones Until Consecutive,Med.
1034,1034. Coloring A Border,Med.
1035,1035. Uncrossed Lines,Med.
1036,1036. Escape a Large Maze,Hard
1037,1037. Valid Boomerang,Easy
1038,1038. Binary Search Tree to Greater Sum Tree,Med.
1039,1039. Minimum Score Triangulation of Polygon,Med.
1040,1040. Moving Stones Until Consecutive II,Med.
1041,1041. Robot Bounded In Circle,Med.
1042,1042. Flower Planting With No Adjacent,Med.
1043,1043. Partition Array for Maximum Sum,Med.
1044,1044. Longest Duplicate Substring,Hard
1045,1045. Customers Who Bought All Products,Med.
1046,1046. Last Stone Weight,Easy
1047,1047. Remove All Adjacent Duplicates In String,Easy
1048,1048. Longest String Chain,Med.
1049,1049. Last Stone Weight II,Med.
1050,1050. Actors and Directors Who Cooperated At Least Three Times,Easy
1051,1051. Height Checker,Easy
1052,1052. Grumpy Bookstore Owner,Med.
1053,1053. Previous Permutation With One Swap,Med.
1054,1054. Distant Barcodes,Med.
1055,1055. Shortest Way to Form String,Med.
1056,1056. Confusing Number,Easy
1057,1057. Campus Bikes,Med.
1058,1058. Minimize Rounding Error to Meet Target,Med.
1059,1059. All Paths from Source Lead to Destination,Med.
1060,1060. Missing Element in Sorted Array,Med.
1061,1061. Lexicographically Smallest Equivalent String,Med.
1062,1062. Longest Repeating Substring,Med.
1063,1063. Number of Valid Subarrays,Hard
1064,1064. Fixed Point,Easy
1065,1065. Index Pairs of a String,Easy
1066,1066. Campus Bikes II,Med.
1067,1067. Digit Count in Range,Hard
1068,1068. Product Sales Analysis I,Easy
1069,1069. Product Sales Analysis II,Easy
1070,1070. Product Sales Analysis III,Med.
1071,1071. Greatest Common Divisor of Strings,Easy
1072,1072. Flip Columns For Maximum Number of Equal Rows,Med.
1073,1073. Adding Two Negabinary Numbers,Med.
1074,1074. Number of Submatrices That Sum to Target,Hard
1075,1075. Project Employees I,Easy
1076,1076. Project Employees II,Easy
1077,1077. Project Employees III,Med.
1078,1078. Occurrences After Bigram,Easy
1079,1079. Letter Tile Possibilities,Med.
1080,1080. Insufficient Nodes in Root to Leaf Paths,Med.
1081,1081. Smallest Subsequence of Distinct Characters,Med.
1082,1082. Sales Analysis I,Easy
1083,1083. Sales Analysis II,Easy
1084,1084. Sales Analysis III,Easy
1085,1085. Sum of Digits in the Minimum Number,Easy
1086,1086. High Five,Easy
1087,1087. Brace Expansion,Med.
1088,1088. Confusing Number II,Hard
1089,1089. Duplicate Zeros,Easy
1090,1090. Largest Values From Labels,Med.
1091,1091. Shortest Path in Binary Matrix,Med.
1092,1092. Shortest Common Supersequence,Hard
1093,1093. Statistics from a Large Sample,Med.
1094,1094. Car Pooling,Med.
1095,1095. Find in Mountain Array,Hard
1096,1096. Brace Expansion II,Hard
1097,1097. Game Play Analysis V,Hard
1098,1098. Unpopular Books,Med.
1099,1099. Two Sum Less Than K,Easy
1100,1100. Find K-Length Substrings With No Repeated Characters,Med.
1101,1101. The Earliest Moment When Everyone Become Friends,Med.
1102,1102. Path With Maximum Minimum Value,Med.
1103,1103. Distribute Candies to People,Easy
1104,1104. Path In Zigzag Labelled Binary Tree,Med.
1105,1105. Filling Bookcase Shelves,Med.
1106,1106. Parsing A Boolean Expression,Hard
1107,1107. New Users Daily Count,Med.
1108,1108. Defanging an IP Address,Easy
1109,1109. Corporate Flight Bookings,Med.
1110,1110. Delete Nodes And Return Forest,Med.
1111,1111. Maximum Nesting Depth of Two Valid Parentheses Strings,Med.
1112,1112. Highest Grade For Each Student,Med.
1113,1113. Reported Posts,Easy
1114,1114. Print in Order,Easy
1115,1115. Print FooBar Alternately,Med.
1116,1116. Print Zero Even Odd,Med.
1117,1117. Building H2O,Med.
1118,1118. Number of Days in a Month,Easy
1119,1119. Remove Vowels from a String,Easy
1120,1120. Maximum Average Subtree,Med.
1121,1121. Divide Array Into Increasing Sequences,Hard
1122,1122. Relative Sort Array,Easy
1123,1123. Lowest Common Ancestor of Deepest Leaves,Med.
1124,1124. Longest Well-Performing Interval,Med.
1125,1125. Smallest Sufficient Team,Hard
1126,1126. Active Businesses,Med.
1127,1127. User Purchase Platform,Hard
1128,1128. Number of Equivalent Domino Pairs,Easy
1129,1129. Shortest Path with Alternating Colors,Med.
1130,1130. Minimum Cost Tree From Leaf Values,Med.
1131,1131. Maximum of Absolute Value Expression,Med.
1132,1132. Reported Posts II,Med.
1133,1133. Largest Unique Number,Easy
1134,1134. Armstrong Number,Easy
1135,1135. Connecting Cities With Minimum Cost,Med.
1136,1136. Parallel Courses,Med.
1137,1137. N-th Tribonacci Number,Easy
1138,1138. Alphabet Board Path,Med.
1139,1139. Largest 1-Bordered Square,Med.
1140,1140. Stone Game II,Med.
1141,1141. User Activity for the Past 30 Days I,Easy
1142,1142. User Activity for the Past 30 Days II,Easy
1143,1143. Longest Common Subsequence,Med.
1144,1144. Decrease Elements To Make Array Zigzag,Med.
1145,1145. Binary Tree Coloring Game,Med.
1146,1146. Snapshot Array,Med.
1147,1147. Longest Chunked Palindrome Decomposition,Hard
1148,1148. Article Views I,Easy
1149,1149. Article Views II,Med.
1150,1150. Check If a Number Is Majority Element in a Sorted Array,Easy
1151,1151. Minimum Swaps to Group All 1's Together,Med.
1152,1152. Analyze User Website Visit Pattern,Med.
1153,1153. String Transforms Into Another String,Hard
1154,1154. Day of the Year,Easy
1155,1155. Number of Dice Rolls With Target Sum,Med.
1156,1156. Swap For Longest Repeated Character Substring,Med.
1157,1157. Online Majority Element In Subarray,Hard
1158,1158. Market Analysis I,Med.
1159,1159. Market Analysis II,Hard
1160,1160. Find Words That Can Be Formed by Characters,Easy
1161,1161. Maximum Level Sum of a Binary Tree,Med.
1162,1162. As Far from Land as Possible,Med.
1163,1163. Last Substring in Lexicographical Order,Hard
1164,1164. Product Price at a Given Date,Med.
1165,1165. Single-Row Keyboard,Easy
1166,1166. Design File System,Med.
1167,1167. Minimum Cost to Connect Sticks,Med.
1168,1168. Optimize Water Distribution in a Village,Hard
1169,1169. Invalid Transactions,Med.
1170,1170. Compare Strings by Frequency of the Smallest Character,Med.
1171,1171. Remove Zero Sum Consecutive Nodes from Linked List,Med.
1172,1172. Dinner Plate Stacks,Hard
1173,1173. Immediate Food Delivery I,Easy
1174,1174. Immediate Food Delivery II,Med.
1175,1175. Prime Arrangements,Easy
1176,1176. Diet Plan Performance,Easy
1177,1177. Can Make Palindrome from Substring,Med.
1178,1178. Number of Valid Words for Each Puzzle,Hard
1179,1179. Reformat Department Table,Easy
1180,1180. Count Substrings with Only One Distinct Letter,Easy
1181,1181. Before and After Puzzle,Med.
1182,1182. Shortest Distance to Target Color,Med.
1183,1183. Maximum Number of Ones,Hard
1184,1184. Distance Between Bus Stops,Easy
1185,1185. Day of the Week,Easy
1186,1186. Maximum Subarray Sum with One Deletion,Med.
1187,1187. Make Array Strictly Increasing,Hard
1188,1188. Design Bounded Blocking Queue,Med.
1189,1189. Maximum Number of Balloons,Easy
1190,1190. Reverse Substrings Between Each Pair of Parentheses,Med.
1191,1191. K-Concatenation Maximum Sum,Med.
1192,1192. Critical Connections in a Network,Hard
1193,1193. Monthly Transactions I,Med.
1194,1194. Tournament Winners,Hard
1195,1195. Fizz Buzz Multithreaded,Med.
1196,1196. How Many Apples Can You Put into the Basket,Easy
1197,1197. Minimum Knight Moves,Med.
1198,1198. Find Smallest Common Element in All Rows,Med.
1199,1199. Minimum Time to Build Blocks,Hard
1200,1200. Minimum Absolute Difference,Easy
1201,1201. Ugly Number III,Med.
1202,1202. Smallest String With Swaps,Med.
1203,1203. Sort Items by Groups Respecting Dependencies,Hard
1204,1204. Last Person to Fit in the Bus,Med.
1205,1205. Monthly Transactions II,Med.
1206,1206. Design Skiplist,Hard
1207,1207. Unique Number of Occurrences,Easy
1208,1208. Get Equal Substrings Within Budget,Med.
1209,1209. Remove All Adjacent Duplicates in String II,Med.
1210,1210. Minimum Moves to Reach Target with Rotations,Hard
1211,1211. Queries Quality and Percentage,Easy
1212,1212. Team Scores in Football Tournament,Med.
1213,1213. Intersection of Three Sorted Arrays,Easy
1214,1214. Two Sum BSTs,Med.
1215,1215. Stepping Numbers,Med.
1216,1216. Valid Palindrome III,Hard
1217,1217. Minimum Cost to Move Chips to The Same Position,Easy
1218,1218. Longest Arithmetic Subsequence of Given Difference,Med.
1219,1219. Path with Maximum Gold,Med.
1220,1220. Count Vowels Permutation,Hard
1221,1221. Split a String in Balanced Strings,Easy
1222,1222. Queens That Can Attack the King,Med.
1223,1223. Dice Roll Simulation,Hard
1224,1224. Maximum Equal Frequency,Hard
1225,1225. Report Contiguous Dates,Hard
1226,1226. The Dining Philosophers,Med.
1227,1227. Airplane Seat Assignment Probability,Med.
1228,1228. Missing Number In Arithmetic Progression,Easy
1229,1229. Meeting Scheduler,Med.
1230,1230. Toss Strange Coins,Med.
1231,1231. Divide Chocolate,Hard
1232,1232. Check If It Is a Straight Line,Easy
1233,1233. Remove Sub-Folders from the Filesystem,Med.
1234,1234. Replace the Substring for Balanced String,Med.
1235,1235. Maximum Profit in Job Scheduling,Hard
1236,1236. Web Crawler,Med.
1237,1237. Find Positive Integer Solution for a Given Equation,Med.
1238,1238. Circular Permutation in Binary Representation,Med.
1239,1239. Maximum Length of a Concatenated String with Unique Characters,Med.
1240,1240. Tiling a Rectangle with the Fewest Squares,Hard
1241,1241. Number of Comments per Post,Easy
1242,1242. Web Crawler Multithreaded,Med.
1243,1243. Array Transformation,Easy
1244,1244. Design A Leaderboard,Med.
1245,1245. Tree Diameter,Med.
1246,1246. Palindrome Removal,Hard
1247,1247. Minimum Swaps to Make Strings Equal,Med.
1248,1248. Count Number of Nice Subarrays,Med.
1249,1249. Minimum Remove to Make Valid Parentheses,Med.
1250,1250. Check If It Is a Good Array,Hard
1251,1251. Average Selling Price,Easy
1252,1252. Cells with Odd Values in a Matrix,Easy
1253,1253. Reconstruct a 2-Row Binary Matrix,Med.
1254,1254. Number of Closed Islands,Med.
1255,1255. Maximum Score Words Formed by Letters,Hard
1256,1256. Encode Number,Med.
1257,1257. Smallest Common Region,Med.
1258,1258. Synonymous Sentences,Med.
1259,1259. Handshakes That Don't Cross,Hard
1260,1260. Shift 2D Grid,Easy
1261,1261. Find Elements in a Contaminated Binary Tree,Med.
1262,1262. Greatest Sum Divisible by Three,Med.
1263,1263. Minimum Moves to Move a Box to Their Target Location,Hard
1264,1264. Page Recommendations,Med.
1265,1265. Print Immutable Linked List in Reverse,Med.
1266,1266. Minimum Time Visiting All Points,Easy
1267,1267. Count Servers that Communicate,Med.
1268,1268. Search Suggestions System,Med.
1269,1269. Number of Ways to Stay in the Same Place After Some Steps,Hard
1270,1270. All People Report to the Given Manager,Med.
1271,1271. Hexspeak,Easy
1272,1272. Remove Interval,Med.
1273,1273. Delete Tree Nodes,Med.
1274,1274. Number of Ships in a Rectangle,Hard
1275,1275. Find Winner on a Tic Tac Toe Game,Easy
1276,1276. Number of Burgers with No Waste of Ingredients,Med.
1277,1277. Count Square Submatrices with All Ones,Med.
1278,1278. Palindrome Partitioning III,Hard
1279,1279. Traffic Light Controlled Intersection,Easy
1280,1280. Students and Examinations,Easy
1281,1281. Subtract the Product and Sum of Digits of an Integer,Easy
1282,1282. Group the People Given the Group Size They Belong To,Med.
1283,1283. Find the Smallest Divisor Given a Threshold,Med.
1284,1284. Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,Hard
1285,1285. Find the Start and End Number of Continuous Ranges,Med.
1286,1286. Iterator for Combination,Med.
1287,1287. Element Appearing More Than 25% In Sorted Array,Easy
1288,1288. Remove Covered Intervals,Med.
1289,1289. Minimum Falling Path Sum II,Hard
1290,1290. Convert Binary Number in a Linked List to Integer,Easy
1291,1291. Sequential Digits,Med.
1292,1292. Maximum Side Length of a Square with Sum Less than or Equal to Threshold,Med.
1293,1293. Shortest Path in a Grid with Obstacles Elimination,Hard
1294,1294. Weather Type in Each Country,Easy
1295,1295. Find Numbers with Even Number of Digits,Easy
1296,1296. Divide Array in Sets of K Consecutive Numbers,Med.
1297,1297. Maximum Number of Occurrences of a Substring,Med.
1298,1298. Maximum Candies You Can Get from Boxes,Hard
1299,1299. Replace Elements with Greatest Element on Right Side,Easy
1300,1300. Sum of Mutated Array Closest to Target,Med.
1301,1301. Number of Paths with Max Score,Hard
1302,1302. Deepest Leaves Sum,Med.
1303,1303. Find the Team Size,Easy
1304,1304. Find N Unique Integers Sum up to Zero,Easy
1305,1305. All Elements in Two Binary Search Trees,Med.
1306,1306. Jump Game III,Med.
1307,1307. Verbal Arithmetic Puzzle,Hard
1308,1308. Running Total for Different Genders,Med.
1309,1309. Decrypt String from Alphabet to Integer Mapping,Easy
1310,1310. XOR Queries of a Subarray,Med.
1311,1311. Get Watched Videos by Your Friends,Med.
1312,1312. Minimum Insertion Steps to Make a String Palindrome,Hard
1313,1313. Decompress Run-Length Encoded List,Easy
1314,1314. Matrix Block Sum,Med.
1315,1315. Sum of Nodes with Even-Valued Grandparent,Med.
1316,1316. Distinct Echo Substrings,Hard
1317,1317. Convert Integer to the Sum of Two No-Zero Integers,Easy
1318,1318. Minimum Flips to Make a OR b Equal to c,Med.
1319,1319. Number of Operations to Make Network Connected,Med.
1320,1320. Minimum Distance to Type a Word Using Two Fingers,Hard
1321,1321. Restaurant Growth,Med.
1322,1322. Ads Performance,Easy
1323,1323. Maximum 69 Number,Easy
1324,1324. Print Words Vertically,Med.
1325,1325. Delete Leaves With a Given Value,Med.
1326,1326. Minimum Number of Taps to Open to Water a Garden,Hard
1327,1327. List the Products Ordered in a Period,Easy
1328,1328. Break a Palindrome,Med.
1329,1329. Sort the Matrix Diagonally,Med.
1330,1330. Reverse Subarray To Maximize Array Value,Hard
1331,1331. Rank Transform of an Array,Easy
1332,1332. Remove Palindromic Subsequences,Easy
1333,"1333. Filter Restaurants by Vegan-Friendly, Price and Distance",Med.
1334,1334. Find the City With the Smallest Number of Neighbors at a Threshold Distance,Med.
1335,1335. Minimum Difficulty of a Job Schedule,Hard
1336,1336. Number of Transactions per Visit,Hard
1337,1337. The K Weakest Rows in a Matrix,Easy
1338,1338. Reduce Array Size to The Half,Med.
1339,1339. Maximum Product of Splitted Binary Tree,Med.
1340,1340. Jump Game V,Hard
1341,1341. Movie Rating,Med.
1342,1342. Number of Steps to Reduce a Number to Zero,Easy
1343,1343. Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,Med.
1344,1344. Angle Between Hands of a Clock,Med.
1345,1345. Jump Game IV,Hard
1346,1346. Check If N and Its Double Exist,Easy
1347,1347. Minimum Number of Steps to Make Two Strings Anagram,Med.
1348,1348. Tweet Counts Per Frequency,Med.
1349,1349. Maximum Students Taking Exam,Hard
1350,1350. Students With Invalid Departments,Easy
1351,1351. Count Negative Numbers in a Sorted Matrix,Easy
1352,1352. Product of the Last K Numbers,Med.
1353,1353. Maximum Number of Events That Can Be Attended,Med.
1354,1354. Construct Target Array With Multiple Sums,Hard
1355,1355. Activity Participants,Med.
1356,1356. Sort Integers by The Number of 1 Bits,Easy
1357,1357. Apply Discount Every n Orders,Med.
1358,1358. Number of Substrings Containing All Three Characters,Med.
1359,1359. Count All Valid Pickup and Delivery Options,Hard
1360,1360. Number of Days Between Two Dates,Easy
1361,1361. Validate Binary Tree Nodes,Med.
1362,1362. Closest Divisors,Med.
1363,1363. Largest Multiple of Three,Hard
1364,1364. Number of Trusted Contacts of a Customer,Med.
1365,1365. How Many Numbers Are Smaller Than the Current Number,Easy
1366,1366. Rank Teams by Votes,Med.
1367,1367. Linked List in Binary Tree,Med.
1368,1368. Minimum Cost to Make at Least One Valid Path in a Grid,Hard
1369,1369. Get the Second Most Recent Activity,Hard
1370,1370. Increasing Decreasing String,Easy
1371,1371. Find the Longest Substring Containing Vowels in Even Counts,Med.
1372,1372. Longest ZigZag Path in a Binary Tree,Med.
1373,1373. Maximum Sum BST in Binary Tree,Hard
1374,1374. Generate a String With Characters That Have Odd Counts,Easy
1375,1375. Number of Times Binary String Is Prefix-Aligned,Med.
1376,1376. Time Needed to Inform All Employees,Med.
1377,1377. Frog Position After T Seconds,Hard
1378,1378. Replace Employee ID With The Unique Identifier,Easy
1379,1379. Find a Corresponding Node of a Binary Tree in a Clone of That Tree,Easy
1380,1380. Lucky Numbers in a Matrix,Easy
1381,1381. Design a Stack With Increment Operation,Med.
1382,1382. Balance a Binary Search Tree,Med.
1383,1383. Maximum Performance of a Team,Hard
1384,1384. Total Sales Amount by Year,Hard
1385,1385. Find the Distance Value Between Two Arrays,Easy
